t Vext G_frac
0.000e+00 -8.000e-01 0.000e+00
1.000e-07 -7.900e-01 0.000e+00
2.020e-07 -7.900e-01 0.000e+00
3.060e-07 -7.900e-01 0.000e+00
4.122e-07 -7.900e-01 0.000e+00
5.204e-07 -7.900e-01 0.000e+00
6.308e-07 -7.900e-01 0.000e+00
7.434e-07 -7.900e-01 0.000e+00
8.583e-07 -7.900e-01 0.000e+00
9.755e-07 -7.900e-01 0.000e+00
1.095e-06 -7.900e-01 0.000e+00
1.217e-06 -7.900e-01 0.000e+00
1.341e-06 -7.900e-01 0.000e+00
1.468e-06 -7.900e-01 0.000e+00
1.597e-06 -7.900e-01 0.000e+00
1.729e-06 -7.900e-01 0.000e+00
1.864e-06 -7.900e-01 0.000e+00
2.001e-06 -7.900e-01 0.000e+00
2.141e-06 -7.900e-01 0.000e+00
2.284e-06 -7.900e-01 0.000e+00
2.430e-06 -7.900e-01 0.000e+00
2.578e-06 -7.900e-01 0.000e+00
2.730e-06 -7.900e-01 0.000e+00
2.884e-06 -7.900e-01 0.000e+00
3.042e-06 -7.900e-01 0.000e+00
3.203e-06 -7.900e-01 0.000e+00
3.367e-06 -7.900e-01 0.000e+00
3.534e-06 -7.900e-01 0.000e+00
3.705e-06 -7.900e-01 0.000e+00
3.879e-06 -7.900e-01 0.000e+00
4.057e-06 -7.900e-01 0.000e+00
4.238e-06 -7.900e-01 0.000e+00
4.423e-06 -7.900e-01 0.000e+00
4.611e-06 -7.900e-01 0.000e+00
4.803e-06 -7.900e-01 0.000e+00
4.999e-06 -7.900e-01 0.000e+00
5.199e-06 -7.900e-01 0.000e+00
5.403e-06 -7.900e-01 0.000e+00
5.611e-06 -7.900e-01 0.000e+00
5.824e-06 -7.900e-01 0.000e+00
6.040e-06 -7.900e-01 0.000e+00
6.261e-06 -7.900e-01 0.000e+00
6.486e-06 -7.900e-01 0.000e+00
6.716e-06 -7.900e-01 0.000e+00
6.950e-06 -7.900e-01 0.000e+00
7.189e-06 -7.900e-01 0.000e+00
7.433e-06 -7.900e-01 0.000e+00
7.682e-06 -7.900e-01 0.000e+00
7.935e-06 -7.900e-01 0.000e+00
8.194e-06 -7.900e-01 0.000e+00
8.458e-06 -7.900e-01 0.000e+00
8.727e-06 -7.900e-01 0.000e+00
9.002e-06 -7.900e-01 0.000e+00
9.282e-06 -7.900e-01 0.000e+00
9.567e-06 -7.900e-01 0.000e+00
9.859e-06 -7.900e-01 0.000e+00
1.016e-05 -7.900e-01 0.000e+00
1.046e-05 -7.900e-01 0.000e+00
1.077e-05 -7.900e-01 0.000e+00
1.108e-05 -7.900e-01 0.000e+00
1.141e-05 -7.900e-01 0.000e+00
1.173e-05 -7.900e-01 0.000e+00
1.207e-05 -7.900e-01 0.000e+00
1.241e-05 -7.900e-01 0.000e+00
1.276e-05 -7.900e-01 0.000e+00
1.311e-05 -7.900e-01 0.000e+00
1.347e-05 -7.900e-01 0.000e+00
1.384e-05 -7.900e-01 0.000e+00
1.422e-05 -7.900e-01 0.000e+00
1.461e-05 -7.900e-01 0.000e+00
1.500e-05 -7.900e-01 0.000e+00
1.540e-05 -7.900e-01 0.000e+00
1.581e-05 -7.900e-01 0.000e+00
1.622e-05 -7.900e-01 0.000e+00
1.665e-05 -7.900e-01 0.000e+00
1.708e-05 -7.900e-01 0.000e+00
1.752e-05 -7.900e-01 0.000e+00
1.797e-05 -7.900e-01 0.000e+00
1.843e-05 -7.900e-01 0.000e+00
1.890e-05 -7.900e-01 0.000e+00
1.938e-05 -7.900e-01 0.000e+00
1.986e-05 -7.900e-01 0.000e+00
